ISO3,name,oecd_value,oecd_income
AFG,Afghanistan,1,Low-income
ALB,Albania,2,Lower-middle-income
DZA,Algeria,2,Lower-middle-income
AND,Andorra,4,Upper-income
AGO,Angola,2,Lower-middle-income
ATG,Antigua and Barbuda,4,Upper-income
ARG,Argentina,3,Upper-middle-income
ARM,Armenia,2,Lower-middle-income
AUS,Australia,4,Upper-income
AUT,Austria,4,Upper-income
AZE,Azerbaijan,2,Lower-middle-income
BHS,Bahamas,4,Upper-income
BHR,Bahrain,4,Upper-income
BGD,Bangladesh,1,Low-income
BRB,Barbados,4,Upper-income
BLR,Belarus,3,Upper-middle-income
BEL,Belgium,4,Upper-income
BLZ,Belize,3,Upper-middle-income
BEN,Benin,1,Low-income
BTN,Bhutan,2,Lower-middle-income
BOL,Bolivia,2,Lower-middle-income
BIH,Bosnia & Herzegovina,2,Lower-middle-income
BWA,Botswana,3,Upper-middle-income
BRA,Brazil,3,Upper-middle-income
BRN,Brunei Darussalam,4,Upper-income
BGR,Bulgaria,3,Upper-middle-income
BFA,Burkina Faso,1,Low-income
BDI,Burundi,1,Low-income
KHM,Cambodia,1,Low-income
CMR,Cameroon,2,Lower-middle-income
CAN,Canada,4,Upper-income
CPV,Cape Verde,2,Lower-middle-income
CAF,Central African Rep,1,Low-income
TCD,Chad,1,Low-income
CHL,Chile,3,Upper-middle-income
CHN,China,2,Lower-middle-income
COL,Colombia,2,Lower-middle-income
COM,Comoros,1,Low-income
COG,Congo,2,Lower-middle-income
COD,"Congo, Dem Rep",1,Low-income
CRI,Costa Rica,3,Upper-middle-income
CIV,C™te d'Ivoire,1,Low-income
HRV,Croatia,3,Upper-middle-income
CUB,Cuba,3,Upper-middle-income
CYP,Cyprus,4,Upper-income
CZE,Czech Republic,4,Upper-income
DNK,Denmark,4,Upper-income
DJI,Djibouti,2,Lower-middle-income
DMA,Dominica,3,Upper-middle-income
DOM,Dominican Rep,2,Lower-middle-income
ECU,Ecuador,2,Lower-middle-income
EGY,Egypt,2,Lower-middle-income
SLV,El Salvador,2,Lower-middle-income
GNQ,Equatorial Guinea,4,Upper-income
ERI,Eritrea,1,Low-income
EST,Estonia,4,Upper-income
ETH,Ethiopia,1,Low-income
FJI,Fiji,3,Upper-middle-income
FIN,Finland,4,Upper-income
FRA,France,4,Upper-income
GAB,Gabon,3,Upper-middle-income
GMB,Gambia,1,Low-income
GEO,Georgia,2,Lower-middle-income
DEU,Germany,4,Upper-income
GHA,Ghana,1,Low-income
GRC,Greece,4,Upper-income
GRD,Grenada,3,Upper-middle-income
GTM,Guatemala,2,Lower-middle-income
GIN,Guinea,1,Low-income
GNB,Guinea-Bissau,1,Low-income
GUY,Guyana,2,Lower-middle-income
HTI,Haiti,1,Low-income
HND,Honduras,2,Lower-middle-income
HUN,Hungary,4,Upper-income
ISL,Iceland,4,Upper-income
IND,India,2,Lower-middle-income
IDN,Indonesia,2,Lower-middle-income
IRN,Iran,2,Lower-middle-income
IRQ,Iraq,2,Lower-middle-income
IRL,Ireland,4,Upper-income
ISR,Israel,4,Upper-income
ITA,Italy,4,Upper-income
JAM,Jamaica,3,Upper-middle-income
JPN,Japan,4,Upper-income
JOR,Jordan,2,Lower-middle-income
KAZ,Kazakhstan,3,Upper-middle-income
KEN,Kenya,1,Low-income
KIR,Kiribati,2,Lower-middle-income
PRK,"Korea, DPR",1,Low-income
KOR,Korea,4,Upper-income
KWT,Kuwait,4,Upper-income
KGZ,Kyrgyzstan,1,Low-income
LAO,Laos,1,Low-income
LVA,Latvia,3,Upper-middle-income
LBN,Lebanon,3,Upper-middle-income
LSO,Lesotho,2,Lower-middle-income
LBR,Liberia,1,Low-income
LBY,Libya,3,Upper-middle-income
LIE,Liechtenstein,4,Upper-income
LTU,Lithuania,3,Upper-middle-income
LUX,Luxembourg,4,Upper-income
MDG,Madagascar,1,Low-income
MWI,Malawi,1,Low-income
MYS,Malaysia,3,Upper-middle-income
MDV,Maldives,2,Lower-middle-income
MLI,Mali,1,Low-income
MLT,Malta,4,Upper-income
MHL,Marshall Islands,2,Lower-middle-income
MRT,Mauritania,1,Low-income
MUS,Mauritius,3,Upper-middle-income
MEX,Mexico,3,Upper-middle-income
FSM,Micronesia FS,2,Lower-middle-income
MDA,Moldova,2,Lower-middle-income
MCO,Monaco,4,Upper-income
MKD,Macedonia,2,Lower-middle-income
MNG,Mongolia,2,Lower-middle-income
MNE,Montenegro,4,Upper-income
MAR,Morocco,2,Lower-middle-income
MOZ,Mozambique,1,Low-income
MMR,Myanmar,1,Low-income
NAM,Namibia,2,Lower-middle-income
NRU,Nauru,1,Low-income
NPL,Nepal,1,Low-income
NLD,Netherlands,4,Upper-income
NZL,New Zealand,4,Upper-income
NIC,Nicaragua,2,Lower-middle-income
NER,Niger,1,Low-income
NGA,Nigeria,1,Low-income
NOR,Norway,4,Upper-income
OMN,Oman,4,Upper-income
PAK,Pakistan,1,Low-income
PLW,Palau,3,Upper-middle-income
PAN,Panama,3,Upper-middle-income
PNG,Papua New Guinea,1,Low-income
PRY,Paraguay,2,Lower-middle-income
PER,Peru,2,Lower-middle-income
PHL,Philippines,2,Lower-middle-income
POL,Poland,3,Upper-middle-income
PRT,Portugal,4,Upper-income
QAT,Qatar,4,Upper-income
ROU,Romania,3,Upper-middle-income
RUS,Russian Fed,3,Upper-middle-income
RWA,Rwanda,1,Low-income
KNA,Saint Kitts and Nevis,3,Upper-middle-income
LCA,Saint Lucia,3,Upper-middle-income
VCT,St Vincent & Grenadines,3,Upper-middle-income
WSM,Samoa,2,Lower-middle-income
SMR,San Marino,4,Upper-income
STP,Sao Tome & Principe,1,Low-income
SAU,Saudi Arabia,4,Upper-income
SEN,Senegal,1,Low-income
SRB,Serbia,4,Upper-income
SYC,Seychelles,3,Upper-middle-income
SLE,Sierra Leone,1,Low-income
SGP,Singapore,4,Upper-income
SVK,Slovakia,4,Upper-income
SVN,Slovenia,4,Upper-income
SLB,Solomon Islands,1,Low-income
SOM,Somalia,1,Low-income
ZAF,South Africa,3,Upper-middle-income
ESP,Spain,4,Upper-income
LKA,Sri Lanka,2,Lower-middle-income
