ISO3,Name,Value,Trend,,,,,,,,,,,,,,
AFG,Afghanistan,,,,,,,,,,,,,,,,
ALB,Albania,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,
AND,Andorra,0.001495513,1,,,,,,,,,,,,,,
AGO,Angola,0.021444987,1,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,0.032900899,1,,,,,,,,,,,,,,
ARG,Argentina,0.014711559,1,,,,,,,,,,,,,,
ARM,Armenia,,,,,,,,,,,,,,,,
AUS,Australia,0.041386634,1,,,,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,,,,,,
AZE,Azerbaijan,-0.00374008,-1,,,,,,,,,,,,,,
BHS,Bahamas,0.034194989,1,,,,,,,,,,,,,,
BHR,Bahrain,0.007848664,1,,,,,,,,,,,,,,
BGD,Bangladesh,0.008599195,1,,,,,,,,,,,,,,
BRB,Barbados,0.055025967,1,,,,,,,,,,,,,,
BLR,Belarus,-0.001794608,-1,,,,,,,,,,,,,,
BEL,Belgium,0.015782099,1,,,,,,,,,,,,,,
BLZ,Belize,0.039666859,1,,,,,,,,,,,,,,
BEN,Benin,0.012332723,1,,,,,,,,,,,,,,
BTN,Bhutan,0.030537605,1,,,,,,,,,,,,,,
BOL,Bolivia,0.005945973,1,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,0.012716094,1,,,,,,,,,,,,,,
BWA,Botswana,0.039422209,1,,,,,,,,,,,,,,
BRA,Brazil,0.018732987,1,,,,,,,,,,,,,,
BRN,Brunei Darussalam,0.009655593,1,,,,,,,,,,,,,,
BGR,Bulgaria,0.0144594,1,,,,,,,,,,,,,,
BFA,Burkina Faso,0.021489608,1,,,,,,,,,,,,,,
BDI,Burundi,0.019632895,1,,,,,,,,,,,,,,
KHM,Cambodia,,,,,,,,,,,,,,,,
CMR,Cameroon,0.012641466,1,,,,,,,,,,,,,,
CAN,Canada,0.036630329,1,,,,,,,,,,,,,,
CPV,Cape Verde,0.019418543,1,,,,,,,,,,,,,,
CAF,Central African Republic,0.03455219,1,,,,,,,,,,,,,,
TCD,Chad,0.00544684,1,,,,,,,,,,,,,,
CHL,Chile,0.01545208,1,,,,,,,,,,,,,,
CHN,China,0.057591072,1,,,,,,,,,,,,,,
COL,Colombia,0.001730422,1,,,,,,,,,,,,,,
COM,Comoros,-0.001442255,-1,,,,,,,,,,,,,,
COG,Congo,0.014308701,1,,,,,,,,,,,,,,
COD,"Congo,DRC",0.018812253,1,,,,,,,,,,,,,,
CRI,Costa Rica,0.039383071,1,,,,,,,,,,,,,,
CIV,Cªte d'Ivoire,0.012043049,1,,,,,,,,,,,,,,
HRV,Croatia,0.06017335,1,,,,,,,,,,,,,,
CUB,Cuba,-0.007607134,-1,,,,,,,,,,,,,,
CYP,Cyprus,0.024846943,1,,,,,,,,,,,,,,
CZE,Czech Republic,0.040998212,1,,,,,,,,,,,,,,
DNK,Denmark,0.022724684,1,,,,,,,,,,,,,,
DJI,Djibouti,-0.013538481,-1,,,,,,,,,,,,,,
DMA,Dominica,0.024725516,1,,,,,,,,,,,,,,
DOM,Dominican Republic,0.016655094,1,,,,,,,,,,,,,,
ECU,Ecuador,0.007318627,1,,,,,,,,,,,,,,
EGY,Egypt,0.03447814,1,,,,,,,,,,,,,,
SLV,El Salvador,0.003438268,1,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,0.040264997,1,,,,,,,,,,,,,,
ERI,Eritrea,-0.002363695,-1,,,,,,,,,,,,,,
EST,Estonia,0.049845823,1,,,,,,,,,,,,,,
ETH,Ethiopia,0.012668389,1,,,,,,,,,,,,,,
FJI,Fiji,0.003073037,1,,,,,,,,,,,,,,
FIN,Finland,0.011080714,1,,,,,,,,,,,,,,
FRA,France,-0.006708553,-1,,,,,,,,,,,,,,
GAB,Gabon,0.00414909,1,,,,,,,,,,,,,,
GMB,Gambia,0.022447565,1,,,,,,,,,,,,,,
GEO,Georgia,0.005712822,1,,,,,,,,,,,,,,
DEU,Germany,0.005270809,1,,,,,,,,,,,,,,
GHA,Ghana,0.016335068,1,,,,,,,,,,,,,,
GRC,Greece,0.034545925,1,,,,,,,,,,,,,,
GRD,Grenada,0.003748331,1,,,,,,,,,,,,,,
GTM,Guatemala,-0.00013757,-1,,,,,,,,,,,,,,
GIN,Guinea,0.045180032,1,,,,,,,,,,,,,,
GNB,Guinea-Bissau,-0.013966579,-1,,,,,,,,,,,,,,
GUY,Guyana,,,,,,,,,,,,,,,,
HTI,Haiti,0.027387881,1,,,,,,,,,,,,,,
HND,Honduras,0.024744025,1,,,,,,,,,,,,,,
HUN,Hungary,0.008181728,1,,,,,,,,,,,,,,
ISL,Iceland,0.002374609,1,,,,,,,,,,,,,,
IND,India,0.057492547,1,,,,,,,,,,,,,,
IDN,Indonesia,0.013133498,1,,,,,,,,,,,,,,
IRN,"Iran, Islamic Republic of",-0.011894814,-1,,,,,,,,,,,,,,
IRQ,Iraq,-0.014751691,-1,,,,,,,,,,,,,,
